Salary Date,Salary Month,Salary ID,Salary Status,Employee ID,Employee Name,Gender,Generation,Joining,Termination,Term Category,Term Reason,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Manager Name,Performance,Talent,Department,active_months
2012-01-14,2012-01,100374_2012-01,Inactive,100374,Name_100374,Male,Millennials,2007-09-01,2012-01-01,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100362,Name_100362,E,,AD,52.0
2012-01-14,2012-01,100546_2012-01,Inactive,100546,Name_100546,Female,Millennials,2006-08-01,2011-12-25,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Gujarath,31 to 35,31 To 35,102402,Name_102402,E,,BN,64.0
2012-01-14,2012-01,100668_2012-01,Inactive,100668,Name_100668,Male,Millennials,2010-05-01,2011-12-28,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,Below 30,26 To 30,100794,Name_100794,E,,AI,19.0
2012-01-14,2012-01,100718_2012-01,Inactive,100718,Name_100718,Female,Millennials,2009-03-01,2012-01-01,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,Below 30,26 To 30,100605,Name_100605,E,,AI,34.0
2012-01-14,2012-01,100931_2012-01,Inactive,100931,Name_100931,Female,Millennials,2009-11-01,2011-12-30,VOLUNTARY,Voluntary Termination,Marriage,Junior,Bengaluru,Below 30,26 To 30,101458,Name_101458,E,,CC,25.0
2012-01-14,2012-01,100932_2012-01,Inactive,100932,Name_100932,Female,Millennials,2011-03-01,2011-12-17,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,101586,Name_101586,E,,AS,9.0
2012-01-14,2012-01,100936_2012-01,Inactive,100936,Name_100936,Male,Millennials,2010-01-01,2012-01-01,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102428,Name_102428,E,,AS,24.0
2012-01-14,2012-01,100937_2012-01,Inactive,100937,Name_100937,Male,Millennials,2009-07-01,2011-12-21,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101465,Name_101465,E,,AY,29.0
2012-01-14,2012-01,100950_2012-01,Inactive,100950,Name_100950,Male,Gen X,2003-01-01,2012-01-08,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101465,Name_101465,E,,AY,108.0
2012-02-15,2012-02,100186_2012-02,Inactive,100186,Name_100186,Male,Gen X,2003-08-01,2012-01-30,VOLUNTARY,Voluntary Termination,Relocation to Native,Mid,Bengaluru,Above 35,36 T0 40,100185,Name_100185,E,,AC,101.0
2012-02-15,2012-02,100688_2012-02,Inactive,100688,Name_100688,Female,Millennials,2009-10-01,2012-02-13,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100754,Name_100754,E,,AI,28.0
2012-02-15,2012-02,100781_2012-02,Inactive,100781,Name_100781,Female,Millennials,2006-04-01,2012-01-23,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,31 to 35,26 To 30,100726,Name_100726,E,,AI,69.0
2012-02-15,2012-02,100951_2012-02,Inactive,100951,Name_100951,Male,Millennials,2010-04-01,2012-02-10,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101056,Name_101056,E,,AU,22.0
2012-02-15,2012-02,100083_2012-02,Inactive,100083,Name_100083,Male,Millennials,2009-09-01,2012-01-30,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,100076,Name_100076,E,,AO,28.0
2012-02-15,2012-02,100953_2012-02,Inactive,100953,Name_100953,Male,Baby Boomers,2006-04-01,2012-01-28,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,51 T0 55,101569,Name_101569,E,,AS,69.0
2012-02-15,2012-02,100955_2012-02,Inactive,100955,Name_100955,Male,Millennials,2008-11-01,2012-01-30,VOLUNTARY,Voluntary Termination,Salary Hike,Mid,Bengaluru,31 to 35,31 To 35,101540,Name_101540,E,,AY,38.0
2012-03-15,2012-03,100113_2012-03,Inactive,100113,Name_100113,Male,Millennials,2009-12-01,2012-02-23,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101224,Name_101224,E,,AN,26.0
2012-03-15,2012-03,100122_2012-03,Inactive,100122,Name_100122,Male,Millennials,2011-02-01,2012-02-20,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100191,Name_100191,E,,AC,12.0
2012-03-15,2012-03,100132_2012-03,Inactive,100132,Name_100132,Male,Millennials,2010-07-01,2012-03-12,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,31 to 35,26 To 30,100188,Name_100188,E,,AC,20.0
2012-03-15,2012-03,100268_2012-03,Inactive,100268,Name_100268,Male,Millennials,2010-09-01,2012-03-01,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102360,Name_102360,E,,AX,18.0
2012-03-15,2012-03,100776_2012-03,Inactive,100776,Name_100776,Male,Millennials,2006-07-01,2012-02-27,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Below 30,26 To 30,100620,Name_100620,E,,AI,67.0
2012-03-15,2012-03,100817_2012-03,Inactive,100817,Name_100817,Male,Millennials,2005-09-01,2012-03-11,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,100607,Name_100607,E,,AI,78.0
2012-03-15,2012-03,100959_2012-03,Inactive,100959,Name_100959,Male,Gen X,2008-09-01,2012-03-01,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101150,Name_101150,E,,AO,42.0
2012-04-15,2012-04,100675_2012-04,Inactive,100675,Name_100675,Male,Gen X,2010-01-01,2012-04-08,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Above 35,36 T0 40,100650,Name_100650,E,,AI,27.0
2012-04-15,2012-04,100728_2012-04,Inactive,100728,Name_100728,Female,Millennials,2008-01-01,2012-03-18,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100633,Name_100633,E,,AI,50.0
2012-04-15,2012-04,100794_2012-04,Inactive,100794,Name_100794,Male,Millennials,2005-12-01,2012-03-22,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100692,Name_100692,E,,AI,75.0
2012-04-15,2012-04,100965_2012-04,Inactive,100965,Name_100965,Female,Millennials,2011-10-01,2012-03-21,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,101059,Name_101059,E,,AO,5.0
2012-04-15,2012-04,100479_2012-04,Inactive,100479,Name_100479,Male,Millennials,2007-01-01,2012-03-23,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101160,Name_101160,E,,AO,62.0
2012-04-15,2012-04,100973_2012-04,Inactive,100973,Name_100973,Male,Millennials,2009-09-01,2012-03-21,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,101321,Name_101321,E,,AP,30.0
2012-04-15,2012-04,100974_2012-04,Inactive,100974,Name_100974,Male,Baby Boomers,2005-07-01,2012-03-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,51 T0 55,101319,Name_101319,E,,AP,80.0
2012-04-15,2012-04,100975_2012-04,Inactive,100975,Name_100975,Male,Gen X,2006-10-01,2012-04-13,VOLUNTARY,Voluntary Termination,Internal Politics,Mid,Vadodara,Above 35,46 T0 50,101604,Name_101604,E,,BU,66.0
2012-04-15,2012-04,100976_2012-04,Inactive,100976,Name_100976,Male,Millennials,2006-07-01,2012-03-16,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,Above 35,31 To 35,101515,Name_101515,E,,AY,68.0
2012-05-15,2012-05,100123_2012-05,Inactive,100123,Name_100123,Male,Millennials,2011-02-01,2012-05-06,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,100191,Name_100191,E,,AC,15.0
2012-05-15,2012-05,100171_2012-05,Inactive,100171,Name_100171,Male,Millennials,2006-05-01,2012-04-30,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100170,Name_100170,E,,AC,71.0
2012-05-15,2012-05,100177_2012-05,Inactive,100177,Name_100177,Male,Gen X,2006-02-01,2012-04-18,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102292,Name_102292,E,,AC,74.0
2012-05-15,2012-05,100266_2012-05,Inactive,100266,Name_100266,Female,Millennials,2010-12-01,2012-04-27,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,Below 30,26 To 30,100277,Name_100277,E,,AX,16.0
2012-05-15,2012-05,100466_2012-05,Inactive,100466,Name_100466,Male,Gen X,2001-09-01,2012-05-09,VOLUNTARY,Voluntary Termination,Relocation to Native,Mid,Bengaluru,Above 35,36 T0 40,100076,Name_100076,E,,AO,128.0
2012-05-15,2012-05,100986_2012-05,Inactive,100986,Name_100986,Male,Gen X,2010-11-01,2012-05-13,VOLUNTARY,Voluntary Termination,Salary Hike,Mid,Chennai,Above 35,36 T0 40,101253,Name_101253,E,,BP,18.0
2012-05-15,2012-05,100987_2012-05,Inactive,100987,Name_100987,Female,Millennials,2006-10-01,2012-04-19,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,31 to 35,26 To 30,101494,Name_101494,E,,AV,66.0
2012-05-15,2012-05,100209_2012-05,Inactive,100209,Name_100209,Male,Millennials,2011-01-01,2012-05-13,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100188,Name_100188,E,,BF,16.0
2012-05-15,2012-05,100988_2012-05,Inactive,100988,Name_100988,Male,Gen X,2010-12-01,2012-05-11,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102436,Name_102436,E,,AS,17.0
2012-05-15,2012-05,100990_2012-05,Inactive,100990,Name_100990,Male,Millennials,2010-09-01,2012-05-11,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100988,Name_100988,E,,AS,20.0
2012-05-15,2012-05,100999_2012-05,Inactive,100999,Name_100999,Male,Gen X,2010-07-01,2012-05-06,VOLUNTARY,Voluntary Termination,Not Suitable Job for the Skills,Mid,Bengaluru,Above 35,36 T0 40,101645,Name_101645,E,,AY,22.0
2012-05-15,2012-05,101000_2012-05,Inactive,101000,Name_101000,Male,Millennials,2006-10-01,2012-04-23,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,101645,Name_101645,E,,AY,66.0
2012-05-15,2012-05,101001_2012-05,Inactive,101001,Name_101001,Male,Millennials,2006-07-01,2012-04-29,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,31 to 35,31 To 35,101693,Name_101693,E,,AY,69.0
2012-05-15,2012-05,101002_2012-05,Inactive,101002,Name_101002,Male,Millennials,2006-01-01,2012-04-27,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101697,Name_101697,E,,AY,75.0
2012-05-15,2012-05,101003_2012-05,Inactive,101003,Name_101003,Male,Millennials,2005-11-01,2012-05-11,VOLUNTARY,Voluntary Termination,Miscellaneous,Mid,Bengaluru,Above 35,31 To 35,101688,Name_101688,E,,AY,78.0
2012-06-12,2012-06,100108_2012-06,Inactive,100108,Name_100108,Male,Millennials,2010-09-01,2012-05-16,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,102340,Name_102340,E,,AL,20.0
2012-06-12,2012-06,100747_2012-06,Inactive,100747,Name_100747,Male,Millennials,2007-05-01,2012-06-02,VOLUNTARY,Voluntary Termination,Miscellaneous,Junior,Bengaluru,31 to 35,31 To 35,100692,Name_100692,E,,AI,61.0
2012-06-12,2012-06,100766_2012-06,Inactive,100766,Name_100766,Female,Millennials,2006-10-01,2012-06-05,VOLUNTARY,Voluntary Termination,Family Problems,Junior,Bengaluru,Below 30,26 To 30,100830,Name_100830,E,,AI,68.0
2012-06-12,2012-06,101015_2012-06,Inactive,101015,Name_101015,Male,Millennials,2008-07-01,2012-05-31,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,101098,Name_101098,E,,CB,46.0
2012-06-12,2012-06,100078_2012-06,Inactive,100078,Name_100078,Male,Gen X,2001-11-01,2012-05-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101164,Name_101164,E,,AO,126.0
2012-06-12,2012-06,101022_2012-06,Inactive,101022,Name_101022,Male,Millennials,2011-07-01,2012-05-26,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,31 to 35,31 To 35,101059,Name_101059,E,,AO,10.0
2012-06-12,2012-06,101023_2012-06,Inactive,101023,Name_101023,Male,Millennials,2002-10-01,2012-06-09,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101059,Name_101059,E,,AO,116.0
2012-06-12,2012-06,101024_2012-06,Inactive,101024,Name_101024,Male,Millennials,2010-08-01,2012-06-02,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,101495,Name_101495,E,,BF,22.0
2012-06-12,2012-06,100173_2012-06,Inactive,100173,Name_100173,Male,Millennials,2006-05-01,2012-05-19,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Above 35,31 To 35,100188,Name_100188,E,,BF,72.0
2012-06-12,2012-06,101037_2012-06,Inactive,101037,Name_101037,Male,Gen X,2009-01-01,2012-05-26,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,101569,Name_101569,E,,AS,40.0
2012-06-12,2012-06,101062_2012-06,Inactive,101062,Name_101062,Male,Millennials,2004-03-01,2012-05-26,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101568,Name_101568,E,,AS,98.0
2012-06-12,2012-06,101064_2012-06,Inactive,101064,Name_101064,Male,Millennials,2009-01-01,2012-05-18,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101688,Name_101688,E,,AY,40.0
2012-07-15,2012-07,100379_2012-07,Inactive,100379,Name_100379,Male,Millennials,2007-02-01,2012-06-26,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100417,Name_100417,E,,AD,64.0
2012-07-15,2012-07,100646_2012-07,Inactive,100646,Name_100646,Female,Millennials,2011-02-01,2012-07-06,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,100754,Name_100754,E,,AI,17.0
2012-07-15,2012-07,100664_2012-07,Inactive,100664,Name_100664,Female,Millennials,2010-04-01,2012-06-26,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100743,Name_100743,E,,AI,26.0
2012-07-15,2012-07,101071_2012-07,Inactive,101071,Name_101071,Male,Gen X,2002-10-01,2012-07-15,VOLUNTARY,Voluntary Termination,Family Problems,Mid,Bengaluru,Above 35,41 T0 45,102439,Name_102439,E,,BF,117.0
2012-07-15,2012-07,101072_2012-07,Inactive,101072,Name_101072,Male,Millennials,2009-07-01,2012-07-07,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101353,Name_101353,E,,AS,36.0
2012-07-15,2012-07,101073_2012-07,Inactive,101073,Name_101073,Male,Millennials,2007-03-01,2012-06-19,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101591,Name_101591,E,,AS,63.0
2012-07-15,2012-07,101079_2012-07,Inactive,101079,Name_101079,Female,Millennials,2009-08-01,2012-06-30,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101566,Name_101566,E,,AY,34.0
2012-08-14,2012-08,100014_2012-08,Inactive,100014,Name_100014,Male,Millennials,2006-07-01,2012-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Gujarath,31 to 35,31 To 35,100017,Name_100017,E,,AB,72.0
2012-08-14,2012-08,100048_2012-08,Inactive,100048,Name_100048,Male,Gen X,2007-10-01,2012-07-19,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102307,Name_102307,E,,AH,57.0
2012-08-14,2012-08,100182_2012-08,Inactive,100182,Name_100182,Male,Millennials,2005-09-01,2012-07-16,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,31 to 35,31 To 35,100191,Name_100191,E,,AC,82.0
2012-08-14,2012-08,100363_2012-08,Inactive,100363,Name_100363,Male,Millennials,2009-11-01,2012-08-06,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,100411,Name_100411,E,,AD,33.0
2012-08-14,2012-08,100518_2012-08,Inactive,100518,Name_100518,Female,Millennials,2003-10-01,2012-07-16,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,26 To 30,100515,Name_100515,E,,BM,105.0
2012-08-14,2012-08,100652_2012-08,Inactive,100652,Name_100652,Female,Millennials,2010-11-01,2012-08-06,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100605,Name_100605,E,,AI,21.0
2012-08-14,2012-08,100787_2012-08,Inactive,100787,Name_100787,Male,Gen X,2006-03-01,2012-08-13,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Above 35,36 T0 40,100607,Name_100607,E,,AI,77.0
2012-08-14,2012-08,101065_2012-08,Inactive,101065,Name_101065,Female,Millennials,2008-07-01,2012-07-16,VOLUNTARY,Voluntary Termination,Family Problems,Junior,Bengaluru,31 to 35,26 To 30,100481,Name_100481,E,,AU,48.0
2012-08-14,2012-08,100483_2012-08,Inactive,100483,Name_100483,Female,Millennials,2005-12-01,2012-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100076,Name_100076,E,,AO,79.0
2012-08-14,2012-08,100102_2012-08,Inactive,100102,Name_100102,Male,Millennials,2005-10-01,2012-07-16,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,102338,Name_102338,E,,CJ,81.0
2012-08-14,2012-08,101167_2012-08,Inactive,101167,Name_101167,Male,Millennials,2007-10-01,2012-07-16,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,101435,Name_101435,E,,AR,57.0
2012-08-14,2012-08,101168_2012-08,Inactive,101168,Name_101168,Male,Millennials,2005-07-01,2012-08-06,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101435,Name_101435,E,,AR,85.0
2012-08-14,2012-08,101169_2012-08,Inactive,101169,Name_101169,Male,Millennials,2008-05-01,2012-07-28,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101586,Name_101586,E,,AS,50.0
2012-08-14,2012-08,101170_2012-08,Inactive,101170,Name_101170,Female,Millennials,2007-09-01,2012-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101569,Name_101569,E,,AS,58.0
2012-08-14,2012-08,101171_2012-08,Inactive,101171,Name_101171,Male,Gen X,2003-09-01,2012-07-29,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Above 35,46 T0 50,101590,Name_101590,E,,AS,106.0
2012-08-14,2012-08,101172_2012-08,Inactive,101172,Name_101172,Male,Millennials,2010-01-01,2012-08-12,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101186,Name_101186,E,,AY,31.0
2012-08-14,2012-08,101173_2012-08,Inactive,101173,Name_101173,Male,Millennials,2009-10-01,2012-07-16,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,31 to 35,26 To 30,101688,Name_101688,E,,AY,33.0
2012-08-14,2012-08,101174_2012-08,Inactive,101174,Name_101174,Male,Millennials,2008-06-01,2012-08-10,VOLUNTARY,Voluntary Termination,Work Life Balance,Junior,Bengaluru,Below 30,26 To 30,101566,Name_101566,E,,AY,50.0
2012-09-15,2012-09,100129_2012-09,Inactive,100129,Name_100129,Male,Millennials,2010-09-01,2012-09-08,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,31 to 35,31 To 35,100191,Name_100191,E,,AC,24.0
2012-09-15,2012-09,100377_2012-09,Inactive,100377,Name_100377,Male,Gen X,2007-04-01,2012-09-01,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,100417,Name_100417,E,,AD,65.0
2012-09-15,2012-09,100687_2012-09,Inactive,100687,Name_100687,Male,Millennials,2009-10-01,2012-09-10,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100745,Name_100745,E,,AI,35.0
2012-09-15,2012-09,100703_2012-09,Inactive,100703,Name_100703,Female,Millennials,2009-12-01,2012-08-28,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100605,Name_100605,E,,AI,32.0
2012-09-15,2012-09,100561_2012-09,Inactive,100561,Name_100561,Female,Millennials,2010-06-01,2012-09-04,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,Below 30,21 To 25,100599,Name_100599,E,,AI,27.0
2012-09-15,2012-09,101185_2012-09,Inactive,101185,Name_101185,Male,Millennials,2011-11-01,2012-09-04,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,101186,Name_101186,E,,AY,10.0
2012-09-15,2012-09,101186_2012-09,Inactive,101186,Name_101186,Male,Gen X,2002-05-01,2012-09-02,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101725,Name_101725,E,,AY,124.0
2012-10-15,2012-10,100702_2012-10,Inactive,100702,Name_100702,Female,Millennials,2009-10-01,2012-09-25,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100667,Name_100667,E,,AI,35.0
2012-10-15,2012-10,100735_2012-10,Inactive,100735,Name_100735,Female,Millennials,2007-10-01,2012-09-18,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100692,Name_100692,E,,AI,59.0
2012-10-15,2012-10,100481_2012-10,Inactive,100481,Name_100481,Male,Gen X,2006-09-01,2012-09-25,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101040,Name_101040,E,,AU,72.0
2012-10-15,2012-10,101080_2012-10,Inactive,101080,Name_101080,Female,Gen X,2011-09-01,2012-09-29,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101076,Name_101076,E,,BG,12.0
2012-10-15,2012-10,100086_2012-10,Inactive,100086,Name_100086,Male,Millennials,2009-03-01,2012-10-09,VOLUNTARY,Voluntary Termination,Family Problems,Junior,Bengaluru,31 to 35,31 To 35,100076,Name_100076,E,,AO,43.0
2012-10-15,2012-10,101209_2012-10,Inactive,101209,Name_101209,Male,Millennials,2010-10-01,2012-10-06,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101435,Name_101435,E,,AR,24.0
2012-10-15,2012-10,101210_2012-10,Inactive,101210,Name_101210,Male,Millennials,2007-10-01,2012-09-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Below 30,26 To 30,102439,Name_102439,E,,BF,59.0
2012-10-15,2012-10,101211_2012-10,Inactive,101211,Name_101211,Male,Gen X,2010-07-01,2012-10-02,VOLUNTARY,Voluntary Termination,Family Problems,Mid,Bengaluru,Above 35,36 T0 40,102458,Name_102458,E,,AS,27.0
2012-10-15,2012-10,101219_2012-10,Inactive,101219,Name_101219,Male,Millennials,2009-10-01,2012-09-22,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101353,Name_101353,E,,AS,35.0
2012-10-15,2012-10,101220_2012-10,Inactive,101220,Name_101220,Female,Gen X,2006-09-01,2012-09-18,VOLUNTARY,Voluntary Termination,Miscellaneous,Junior,Bengaluru,Above 35,36 T0 40,101586,Name_101586,E,,AS,72.0
2012-11-15,2012-11,100376_2012-11,Inactive,100376,Name_100376,Male,Millennials,2007-06-01,2012-11-13,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100384,Name_100384,E,,AD,65.0
2012-11-15,2012-11,100411_2012-11,Inactive,100411,Name_100411,Male,Gen X,2005-03-01,2012-10-30,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,100422,Name_100422,E,,AD,91.0
2012-11-15,2012-11,100547_2012-11,Inactive,100547,Name_100547,Male,Gen X,2006-08-01,2012-10-28,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Chennai,Above 35,36 T0 40,102403,Name_102403,E,,BN,74.0
2012-11-15,2012-11,100897_2012-11,Inactive,100897,Name_100897,Female,Gen X,2011-12-01,2012-11-06,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,Above 35,36 T0 40,100743,Name_100743,E,,AI,11.0
2012-11-15,2012-11,100644_2012-11,Inactive,100644,Name_100644,Female,Millennials,2011-04-01,2012-11-06,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,100605,Name_100605,E,,AI,19.0
2012-11-15,2012-11,100860_2012-11,Inactive,100860,Name_100860,Female,Millennials,2010-11-01,2012-10-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100679,Name_100679,E,,AI,23.0
2012-11-15,2012-11,100663_2012-11,Inactive,100663,Name_100663,Female,Millennials,2011-03-01,2012-10-16,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100611,Name_100611,E,,AI,19.0
2012-11-15,2012-11,100676_2012-11,Inactive,100676,Name_100676,Female,Millennials,2010-01-01,2012-11-06,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100620,Name_100620,E,,AI,34.0
2012-11-15,2012-11,100722_2012-11,Inactive,100722,Name_100722,Female,Millennials,2008-03-01,2012-10-30,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100743,Name_100743,E,,AI,55.0
2012-11-15,2012-11,100751_2012-11,Inactive,100751,Name_100751,Male,Millennials,2006-06-01,2012-11-04,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,100635,Name_100635,E,,AI,77.0
2012-11-15,2012-11,101069_2012-11,Inactive,101069,Name_101069,Female,Millennials,2012-02-01,2012-10-16,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,101058,Name_101058,E,,AU,8.0
2012-11-15,2012-11,100472_2012-11,Inactive,100472,Name_100472,Female,Millennials,2009-10-01,2012-11-04,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,21 To 25,100468,Name_100468,E,,AO,37.0
